example_id,conversation_id,customer_text,current_label,predicted_intent,selection_method,human_label,human_notes
golden_0001,amazonhelp_119724,"@115850 #worst_customer_service https://t.co/wgzuf8UiiR @115850 @1840 @AmazonHelp @AmazonHelp Done. @AmazonHelp Any updates ? @AmazonHelp Still the issue is not resolved. I don't know how your escalation works but this doesn't seems right. My money is stuck since 15 days. @AmazonHelp I received a mail yesterday that pickup will be done but till now nothing happened. I'm tired of chasing customer care, please help. @AmazonHelp why are you guys hassling a regular customer ?.
This is the first time i'm facing such a bad experience with amazon. @AmazonHelp Reverse pickup is still not done. Why i have to hassle so much ?. This is how escalation works in amazon ?. @AmazonHelp Can you please provide a final ETA. I'm tired of chasing this.",,DELIVERY_LATE,random_core,,
golden_0002,amazonhelp_126321,@AmazonHelp Alexa working well shame the free trial you get isn’t the same as what you pay for I can’t download Music for my echo @AmazonHelp Yes but can’t down load anything,,DEVICE_ISSUE,random_core,,
golden_0003,amazonhelp_039556,"@115821 this is how Amazon India will dupe you..digital mafia..even they are telling no guarantee of refund in 2019 also @115850 @116935 @115830 @116618 @AmazonHelp @117634 @144779 @115828 @115851 https://t.co/u0Jip0hFsJ @AmazonHelp I have contacted u more than 70 times for D's order since Oct 10 @115850 @115821 @116618 @115830 @117634 @1404 @115828 @120844 @127586 @4211 @144772 @115851  #digitalmafia ..contact mob. no. :- +918018124783 suman sourav patra @AmazonHelp Don't try 2 play everytime behind screen..have a dare to show d real image..ask me anything in Ds platform itself..I m not going to tricked by u D's tym..@115821 @115851 @127586 @120844 @144772 @4211 @115830 @144779 @37186  #digitalmafia @AmazonHelp Lol.. being an online retail company in digital age what Ur replying shows the allure of devil to perform in dark..if u can reply me apologize me in this platform why not solve here haha...Ask me anything here, I 'll provide all d details.@115851 @120844 @127586 @4211 @AmazonHelp Why Twitter has banned you? Or you are apprehensive lol @115850 @115851 @120844 @127586 @4211 @144772 @144778 @144773 @144777 #digitalmafia @115821 @117634 @115830 @116935 @1404",,DELIVERY_LATE,random_core,,
golden_0004,amazonhelp_006909,"@AmazonHelp Is there a problem with books in the last couple of days?  Been trying to buy one that is a bestseller but you say only third parties offer it which is odd.  Similarly, the link for a book I ghosted - also a bestseller at the moment - says 3rd party only. @AmazonHelp https://t.co/QCt7kMtESE @AmazonHelp How would they know why you are directing people to The Works? @AmazonHelp Except that isn't the case.
1 Why not?
2 Why are you sending people to The Works?
3 Why is that book in Home &amp; KItchen?
4 What do you suggest I say to Bonnier when I call their switchboard as you suggest, to find out what Amazon is up to?
5 What is the point of having Prime? @AmazonHelp Are you actually reading my replies?
The latest info is NOT on your website.
Are you telling me to contact the pubisher as an author or an Amazon customer?
Even if you are incompetent answering everything else, how about the Prime question? @AmazonHelp Except that isn't the case.
1 Why not?
2 Why are you sending people to The Works?
3 Why is that book in Home &amp; KItchen?
4 What do you suggest I say to Bonnier when I call their switchboard as you suggest, to find out what Amazon is up to?
5 What is the point of having Prime?",,OTHER,random_core,,
golden_0005,amazonhelp_091951,"Treat yourself! Get 3 months of Amazon Music Unlimited for only $0.99. Limited time only. https://t.co/jdaL3nFAVU @116935 How do you get this offer with the ios Amazon app? @AmazonHelp I did it, thx",,APP_USAGE,random_core,,
golden_0006,amazonhelp_038850,@115850 WORST CUSTOMER SERVICE. ABSOLUTLY IRRESPONSIBLE AND SHAMELESS,,OTHER,random_core,,
golden_0007,amazonhelp_031474,@115850 why you do not allow write a review if we have some concern regarding product or service. It will be great if u let us know about the issue in review instead providing link for lengthy guidelines @AmazonHelp  https://t.co/fS1pQPv8m2 @AmazonHelp Thanks for reiterating the same point  my point is if your system knows the issue with review why can’t u mention that in reply instead of asking customer to read through policy @AmazonHelp I am not sure about any thing wrong in my review please help,,OTHER,random_core,,
golden_0008,amazonhelp_073867,@AmazonHelp My vacation will be ruined because your two day shipping has now taken 5 days and still no package. @AmazonHelp It’s my wife’s Prime acct. was suppose to be delivered yesterday UPS to Chadron Ne. @AmazonHelp It’s through my wife’s account so the prompts show no activity on my acct so it won’t give the phone number. #firstworldprob @AmazonHelp That was not fruitful my amzn order number is 114-5542073-1102666. Picked up on the 17th by ups. @AmazonHelp Yes. We were told if the package doesn’t arrive tomorrow we would be up for compensation. We now know the package has never been sent.  Two day shipping indeed. Very disappointed and upset my vacation is being stressed. @AmazonHelp I believe the ball is in your court. Please tell me about the status of my order?,,DELIVERY_LATE,random_core,,
golden_0009,amazonhelp_077858,"Seriously @115821??? This is how you package the new @115890 @115786 on release day???? https://t.co/OizfamOzT9 @115821 @115890 @115786 Not from what I can see, yet. But packaging the #xbox1x like this is totally unacceptable.",,OTHER,random_core,,
golden_0010,amazonhelp_055673,@115830 Terrible service for two parcels supposedly in a locker we haven’t been able to get access to since Thursday! C’mon Amazon!,,OTHER,random_core,,
golden_0011,amazonhelp_076659,"@115830 had email tracking my order which would be delivered by 8pm. Now it's ""oops sorry we are late you have till Nov 1st to query"".",,DELIVERY_LATE,random_core,,
golden_0012,amazonhelp_101267,"Worst customer support ever @115850 @AmazonHelp 
After 3 days of compaint,  no need to contact to customer even @AmazonHelp I mailed it same day..",,OTHER,random_core,,
golden_0013,amazonhelp_042076,@115850 need help with refund. Apparently there is no escalation as per customer rep who says he is the last line of escalation and he does not have any supervisor,,REFUND_REQUEST,random_core,,
golden_0014,amazonhelp_132600,"Apparently @115821 thinks 4=2 when it comes to days for ""Prime"" shipping. 🤔 https://t.co/XDLShqwsC1",,DELIVERY_LATE,random_core,,
golden_0015,amazonhelp_000587,"Gee, thanks for suddenly wanting me to enter a random code that you sent to my old phone without reason, @115830 .
I sold that phone.
And the password was correct.
But you know.
Good job. @AmazonHelp Hi there!
Can't do so - neglected to mention I'm a Seller and not a regular customer. Well, I'm both. But this was for the Seller side.
I understand the 2 halves of Amazon are separate like that so a normal customer procedure wouldn't work. @AmazonHelp Haha! Link requires me to log in to do anything :-P
Already sent an email of sorts, but thank you for trying to help. I appreciate it!",,APP_USAGE,random_core,,
golden_0016,amazonhelp_029709,"@AmazonHelp @115850 why am I being charged 1300 at an mrp of 478,doesn't that amount to cheating? https://t.co/TZGvB7sLM1 @AmazonHelp Don't you validate prices and the seller? Where can I leave feedback for the seller?",,OTHER,random_core,,
golden_0017,amazonhelp_131989,@115850 I was brought one lenovo  laptop and not providing me tax paid invoice bill to extend warranty and lenovo team not extending,,OTHER,random_core,,
golden_0018,amazonhelp_070176,@117795 why is the Thursday night game not on Amazon prove video???,,VIDEO_STREAMING,random_core,,
golden_0019,amazonhelp_044020,"@115850 when will this Order be delivered ? Order date 25-Oct-2017
Order #407-3727329-4237126 @AmazonHelp @115821 @115850 @AmazonHelp @115821 @28320  Amazon hs crossed all dedlines &amp; till now item hasn't been dlivrd they don't even hv an idea whr it is?It's a prepaid ordr @AmazonHelp Emails m getting everyday. M interested either in product or refund. Pls let me know how many days u will take.@115821",,DELIVERY_LATE,random_core,,
golden_0020,amazonhelp_116521,@115830 Money has been taken out of my account for a prime membership I don't even have. Both of my amazon accounts are showing that there is no prime membership. Customer services did not want to help me at all. Any advice would be appreciated.,,DEVICE_ISSUE,random_core,,
golden_0021,amazonhelp_066476,@115850 Facing bad experience to return Amazon supplied faulty product. Neither picking up the product nor returning my money.. @AmazonHelp Three times..Everytime new pickup schedule given...Something wrong happening with Amazon..Never faced this kind of issues with Amazon..,,RETURN_REQUEST,random_core,,
golden_0022,amazonhelp_133022,@115850 delivery guy throws the product in balcony. coz no one was home. Want it replaced https://t.co/0RkjOR9JxR,,RETURN_REQUEST,random_core,,
